alpha.liquid,alpha.vapour,heatFlux.structure,p,T.interface,T.liquid,T.vapour,U.liquid_Magnitude
0.356246,0.0782463,1.50387e+06,1.47443e+07,613.907,613.499,613.937,5.85262
0.356608,0.0778848,1.50387e+06,1.47444e+07,613.907,613.492,613.937,5.84755
0.356969,0.0775233,1.50387e+06,1.47445e+07,613.907,613.485,613.938,5.84248
0.357331,0.0771618,1.50387e+06,1.47445e+07,613.908,613.478,613.938,5.83741
0.357692,0.0768003,1.50387e+06,1.47446e+07,613.908,613.471,613.938,5.83234
0.358053,0.0764388,1.50387e+06,1.47447e+07,613.909,613.464,613.939,5.82727
0.358415,0.0760773,1.50387e+06,1.47448e+07,613.909,613.457,613.939,5.8222
0.358776,0.0757159,1.50387e+06,1.47449e+07,613.91,613.45,613.939,5.81713
0.359138,0.0753543,1.50387e+06,1.4745e+07,613.91,613.443,613.939,5.81206
0.359499,0.0749928,1.50386e+06,1.47451e+07,613.911,613.437,613.94,5.80699
0.359861,0.0746313,1.50386e+06,1.47452e+07,613.911,613.43,613.94,5.80193
0.360222,0.0742699,1.50386e+06,1.47453e+07,613.912,613.423,613.94,5.79686
0.360584,0.0739084,1.50386e+06,1.47454e+07,613.912,613.416,613.941,5.79179
0.360945,0.0735469,1.50386e+06,1.47455e+07,613.913,613.409,613.941,5.78672
0.361305,0.0731872,1.50386e+06,1.47456e+07,613.913,613.401,613.941,5.7817
0.361664,0.0728285,1.50386e+06,1.47457e+07,613.914,613.393,613.942,5.77672
0.362022,0.0724699,1.50386e+06,1.47458e+07,613.914,613.385,613.942,5.77173
0.362381,0.0721112,1.50386e+06,1.47459e+07,613.915,613.377,613.942,5.76674
0.36274,0.0717525,1.50385e+06,1.4746e+07,613.915,613.37,613.942,5.76176
0.363098,0.0713938,1.50385e+06,1.47461e+07,613.916,613.362,613.943,5.75677
0.363457,0.0710352,1.50385e+06,1.47461e+07,613.916,613.354,613.943,5.75179
0.363816,0.0706765,1.50385e+06,1.47462e+07,613.916,613.346,613.943,5.7468
0.364174,0.0703178,1.50385e+06,1.47463e+07,613.917,613.338,613.944,5.74181
0.364533,0.0699591,1.50385e+06,1.47464e+07,613.917,613.33,613.944,5.73683
0.364892,0.0696004,1.50385e+06,1.47465e+07,613.918,613.322,613.944,5.73184
0.365251,0.0692417,1.50385e+06,1.47466e+07,613.918,613.314,613.944,5.72685
